segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv,monitor_bessm4_csv
315,PONTA,5513.75,12,100.0,56.2586,100.0,37.1077,100.0,38.6357,100.0,39.6149,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00315_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00315_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00315_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00315_PONTA.csv
316,FORA_PONTA,5516.75,84,56.2586,100.0,37.1077,100.0,38.6357,100.0,39.6149,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00316_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00316_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00316_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00316_FORA_PONTA.csv
317,PONTA,5537.75,12,100.0,56.5223,100.0,37.4877,100.0,39.0069,100.0,39.9805,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00317_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00317_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00317_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00317_PONTA.csv
318,FORA_PONTA,5540.75,84,56.5223,100.0,37.4877,100.0,39.0069,100.0,39.9805,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00318_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00318_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00318_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00318_FORA_PONTA.csv
319,PONTA,5561.75,12,100.0,57.3609,100.0,38.696,100.0,40.1873,100.0,41.1429,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00319_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00319_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00319_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00319_PONTA.csv
320,FORA_PONTA,5564.75,84,57.3609,100.0,38.696,100.0,40.1873,100.0,41.1429,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00320_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00320_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00320_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00320_FORA_PONTA.csv
321,PONTA,5585.75,12,100.0,59.0399,100.0,41.1152,100.0,42.5504,100.0,43.47,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00321_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00321_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00321_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00321_PONTA.csv
322,FORA_PONTA,5588.75,84,59.0399,100.0,41.1152,100.0,42.5504,100.0,43.47,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00322_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00322_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00322_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00322_FORA_PONTA.csv
323,PONTA,5609.75,12,100.0,60.2708,100.0,42.8886,100.0,44.2827,100.0,45.1759,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00323_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00323_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00323_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00323_PONTA.csv
324,FORA_PONTA,5612.75,276,60.2708,100.0,42.8886,100.0,44.2827,100.0,45.1759,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00324_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00324_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00324_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00324_FORA_PONTA.csv
