Hora_decimal,P fase A,P fase B,P fase C,Q fase A,Q fase B,Q fase C
7359.75,23.1,21.7,24.1,11.5,11.0,12.6
7360.0,22.3,20.8,22.6,11.5,11.0,12.7
7360.25,21.7,20.1,21.8,11.9,11.2,13.0
7360.5,21.3,20.0,21.5,12.2,11.6,13.3
7360.75,14.8,13.5,14.3,7.68,7.44,8.36
7361.0,1.23,0.499,0.323,-0.65,-0.47,-0.86
7361.25,1.23,0.493,0.306,-0.66,-0.48,-0.89
7361.5,1.2,0.501,0.349,-0.69,-0.47,-0.84
7361.75,1.21,0.529,0.326,-0.7,-0.45,-0.88
7362.0,1.25,0.49,0.328,-0.67,-0.51,-0.89
7362.25,1.22,0.485,0.305,-0.7,-0.51,-0.91
7362.5,1.22,0.496,0.334,-0.7,-0.49,-0.88
7362.75,1.22,0.527,0.326,-0.69,-0.44,-0.89
7363.0,1.24,0.54,0.332,-0.65,-0.42,-0.88
7363.25,1.23,0.583,0.619,-0.68,-0.46,-0.79
7363.5,1.08,0.28,0.387,-0.64,-0.41,-0.87
7363.75,1.1,0.281,0.316,-0.62,-0.41,-0.88
7364.0,1.17,0.36,0.451,-0.6,-0.39,-0.78
7364.25,1.08,0.312,0.316,-0.65,-0.37,-0.9
7364.5,1.09,0.313,0.324,-0.64,-0.37,-0.88
7364.75,1.11,0.298,0.32,-0.63,-0.4,-0.9
7365.0,1.09,0.28,0.328,-0.65,-0.43,-0.88
7365.25,1.09,0.281,0.336,-0.66,-0.43,-0.88
7365.5,1.11,0.311,0.3,-0.63,-0.41,-0.93
7365.75,1.11,0.29,0.353,-0.65,-0.44,-0.88
7366.0,1.09,0.282,0.308,-0.68,-0.47,-0.95
7366.25,1.09,0.291,0.3,-0.68,-0.45,-0.95
7366.5,1.12,0.317,0.359,-0.61,-0.37,-0.84
7366.75,1.07,0.322,0.326,-0.65,-0.37,-0.88
7367.0,1.07,0.296,0.327,-0.65,-0.42,-0.89
7367.25,1.09,0.282,0.321,-0.63,-0.45,-0.92
7367.5,1.08,0.281,0.319,-0.64,-0.46,-0.92
7367.75,1.07,0.28,0.328,-0.67,-0.46,-0.91
7368.0,1.08,0.304,0.351,-0.67,-0.44,-0.9
7368.25,1.11,0.315,0.416,-0.62,-0.41,-0.82
7368.5,1.07,0.31,0.356,-0.65,-0.38,-0.86
7368.75,1.07,0.284,0.3,-0.64,-0.42,-0.91
7369.0,1.08,0.283,0.379,-0.63,-0.42,-0.81
7369.25,1.08,0.31,0.3,-0.63,-0.39,-0.91
7369.5,1.07,0.297,0.323,-0.64,-0.41,-0.89
7369.75,1.07,0.285,0.384,-0.65,-0.43,-0.81
7370.0,1.2,0.288,0.3,-0.59,-0.43,-0.92
7370.25,1.07,0.311,0.336,-0.65,-0.39,-0.88
7370.5,1.07,0.309,0.329,-0.65,-0.4,-0.89
7370.75,1.08,0.311,0.311,-0.64,-0.41,-0.91
7371.0,1.08,0.28,0.317,-0.64,-0.45,-0.9
7371.25,1.07,0.281,0.311,-0.65,-0.45,-0.92
7371.5,1.07,0.282,0.346,-0.65,-0.46,-0.87
7371.75,1.12,0.285,0.304,-0.61,-0.46,-0.93
7372.0,1.07,0.331,0.322,-0.66,-0.39,-0.91
7372.25,1.07,0.311,0.351,-0.67,-0.4,-0.87
7372.5,1.09,0.283,0.302,-0.66,-0.46,-0.93
7372.75,1.1,0.28,0.354,-0.64,-0.46,-0.87
7373.0,1.07,0.28,0.326,-0.66,-0.46,-0.91
7373.25,1.07,0.32,0.378,-0.66,-0.4,-0.84
7373.5,1.11,0.28,0.378,-0.62,-0.46,-0.84
7373.75,1.07,0.28,0.339,-0.67,-0.46,-0.89
7374.0,1.07,0.311,0.337,-0.66,-0.4,-0.88
7374.25,1.07,0.309,0.3,-0.65,-0.39,-0.91
7374.5,1.09,0.331,0.333,-0.61,-0.38,-0.87
7374.75,2.37,1.68,1.79,0.385,0.486,0.267
7375.0,19.3,18.1,19.5,11.3,10.7,12.5
7375.25,20.7,20.2,22.2,12.1,11.5,13.6
7375.5,20.3,19.8,21.9,11.6,11.0,13.2
7375.75,21.5,20.5,22.5,11.8,11.2,13.1
7376.0,21.7,20.7,22.7,11.8,11.2,13.1
7376.25,22.1,21.0,23.4,12.1,11.4,13.3
7376.5,22.1,20.9,23.4,11.8,11.2,13.0
7376.75,22.5,21.0,23.5,12.1,11.5,13.2
7377.0,22.8,21.0,23.5,12.1,11.5,13.2
7377.25,23.2,21.9,24.1,12.5,12.1,13.8
7377.5,23.1,21.4,23.6,12.1,11.7,13.2
7377.75,23.2,21.6,23.9,12.3,11.7,13.3
7378.0,23.4,21.8,23.9,12.4,11.9,13.3
7378.25,23.3,21.9,24.0,12.2,11.7,13.3
7378.5,23.1,21.7,23.7,12.3,11.8,13.3
7378.75,23.0,21.4,23.1,12.3,11.8,13.2
7379.0,22.8,21.3,22.9,12.2,11.7,13.0
7379.25,22.6,21.0,22.9,12.1,11.5,13.0
7379.5,23.2,21.0,23.0,12.4,11.5,13.0
7379.75,22.0,21.3,22.8,12.2,11.6,13.1
7380.0,22.2,21.0,22.8,12.3,11.9,13.2
7380.25,22.3,21.2,23.0,12.3,12.0,13.3
7380.5,22.5,21.2,23.3,12.5,11.9,13.5
7380.75,22.5,21.2,23.2,12.4,11.8,13.4
