Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
7883.250000,0.978981,0.979876,0.978860,0.978073,0.977812,0.977679,0.980871,0.974615,0.972406,0.973017,0.972853,0.973495,0.971483,0.971733,0.976635,0.971680,0.972941
7883.500000,0.978437,0.979351,0.978320,0.977508,0.977239,0.977096,0.980364,0.973952,0.971370,0.972315,0.972032,0.972885,0.970483,0.970794,0.976100,0.970711,0.972147
7883.750000,0.978646,0.979616,0.978606,0.977732,0.977470,0.977328,0.980603,0.974226,0.971464,0.972611,0.972317,0.973121,0.970770,0.971083,0.976391,0.970988,0.972389
7884.000000,0.978515,0.979501,0.978483,0.977586,0.977333,0.977198,0.980487,0.974188,0.971497,0.972561,0.972206,0.973152,0.970577,0.970891,0.975785,0.970903,0.972333
7884.250000,0.978819,0.979815,0.978818,0.977900,0.977650,0.977520,0.980780,0.974588,0.972014,0.972988,0.972558,0.973527,0.970941,0.971255,0.976142,0.971276,0.972773
7884.500000,0.978832,0.979763,0.978756,0.977948,0.977708,0.977580,0.980738,0.974697,0.971915,0.973161,0.972473,0.973367,0.970841,0.971159,0.976026,0.971188,0.972632
7884.750000,0.978347,0.979326,0.978305,0.977436,0.977190,0.977061,0.980312,0.974083,0.971470,0.972515,0.972076,0.972733,0.970486,0.970785,0.975572,0.970821,0.972188
7885.000000,0.978052,0.978939,0.977928,0.977154,0.976903,0.976776,0.979972,0.973826,0.971279,0.972265,0.971785,0.972441,0.970264,0.970545,0.975223,0.970580,0.971855
7885.250000,0.977000,0.977875,0.976795,0.976078,0.975806,0.975670,0.978964,0.972524,0.970183,0.970917,0.970530,0.971141,0.968950,0.969232,0.974039,0.969270,0.970603
7885.500000,0.975883,0.976679,0.975483,0.974963,0.974691,0.974550,0.977859,0.971505,0.968638,0.969921,0.968826,0.969365,0.967036,0.967367,0.972688,0.967389,0.968880
