Segmento,Year,LDCurve,Hour,Meter,kWh,kvarh,Max kW,Max kVA,Zone kWh,Zone kvarh,Zone Max kW,Zone Max kVA,Overload kWh Normal,Overload kWh Emerg,Load EEN,Load UE,Zone Losses kWh,Zone Losses kvarh,Zone Max kW Losses,Zone Max kvar Losses,Load Losses kWh,Load Losses kvarh,No Load Losses kWh,No Load Losses kvarh,Max kW Load Losses,Max kW No Load Losses,Line Losses,Transformer Losses,Line Mode Line Losses,Zero Mode Line Losses,3-phase Line Losses,1- and 2-phase Line Losses,Gen kWh,Gen kvarh,Gen Max kW,Gen Max kVA,13.8 kV Losses,Aux1,Aux6,Aux11,Aux16,Aux21,Aux26,13.8 kV Line Loss,Aux2,Aux7,Aux12,Aux17,Aux22,Aux27,13.8 kV Load Loss,Aux3,Aux8,Aux13,Aux18,Aux23,Aux28,13.8 kV No Load Loss,Aux4,Aux9,Aux14,Aux19,Aux24,Aux29,13.8 kV Load Energy,Aux5,Aux10,Aux15,Aux20,Aux25,Aux30
S00020_FORA_PONTA,0, ,377.0," ""GERAL""       ",54053.0,5434.0,4033.0,4054.0,45590.0,5924.0,3900.0,3922.0,0.0,0.0,1346.0,1170.0,2259.0,5616.0,122.0,324.0,256.0,-21.0,2003.0,5637.0,27.0,97.0,104.0,2155.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,2259.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,45590.0,0.0,0.0,0.0,0.0,0.0,0.0
S00021_PONTA,0, ,380.0," ""GERAL""       ",389.0,791.0,352.0,431.0,4734.0,730.0,1800.0,1814.0,0.0,0.0,194.0,168.0,355.0,956.0,119.0,320.0,61.0,128.0,294.0,828.0,21.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,4734.0,0.0,0.0,0.0,0.0,0.0,0.0
S00022_FORA_PONTA,0, ,401.0," ""GERAL""       ",53810.0,5994.0,3918.0,3947.0,45335.0,6439.0,3785.0,3817.0,0.0,0.0,1346.0,1170.0,2272.0,5659.0,122.0,326.0,270.0,25.0,2002.0,5634.0,27.0,97.0,114.0,2158.0,114.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,2272.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,45335.0,0.0,0.0,0.0,0.0,0.0,0.0
S00023_PONTA,0, ,404.0," ""GERAL""       ",1563.0,1226.0,755.0,880.0,5905.0,1138.0,2202.0,2241.0,0.0,0.0,193.0,168.0,359.0,976.0,121.0,328.0,68.0,154.0,292.0,822.0,24.0,98.0,7.0,353.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,5905.0,0.0,0.0,0.0,0.0,0.0,0.0
S00024_FORA_PONTA,0, ,473.0," ""GERAL""       ",127427.0,14817.0,4124.0,4144.0,113209.0,17594.0,3990.0,4010.0,0.0,0.0,4437.0,3852.0,7101.0,17460.0,123.0,328.0,458.0,-1239.0,6643.0,18699.0,29.0,97.0,204.0,6897.0,204.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,7101.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,6643.0,0.0,0.0,0.0,0.0,0.0,0.0,113209.0,0.0,0.0,0.0,0.0,0.0,0.0
S00025_PONTA,0, ,476.0," ""GERAL""       ",658.0,746.0,515.0,584.0,5004.0,683.0,1963.0,1979.0,0.0,0.0,194.0,168.0,355.0,956.0,119.0,321.0,61.0,129.0,294.0,828.0,22.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,5004.0,0.0,0.0,0.0,0.0,0.0,0.0
S00026_FORA_PONTA,0, ,497.0," ""GERAL""       ",55519.0,5543.0,3906.0,3929.0,47048.0,6006.0,3775.0,3800.0,0.0,0.0,1346.0,1170.0,2266.0,5639.0,122.0,325.0,265.0,7.0,2001.0,5632.0,27.0,97.0,109.0,2157.0,109.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,47048.0,0.0,0.0,0.0,0.0,0.0,0.0
S00027_PONTA,0, ,500.0," ""GERAL""       ",642.0,683.0,522.0,576.0,4988.0,621.0,1969.0,1982.0,0.0,0.0,194.0,168.0,355.0,956.0,119.0,321.0,61.0,128.0,294.0,828.0,22.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,4988.0,0.0,0.0,0.0,0.0,0.0,0.0
S00028_FORA_PONTA,0, ,521.0," ""GERAL""       ",56900.0,5736.0,4195.0,4217.0,48417.0,6162.0,4060.0,4083.0,0.0,0.0,1345.0,1169.0,2278.0,5672.0,122.0,324.0,279.0,45.0,1999.0,5626.0,27.0,97.0,117.0,2161.0,117.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,2278.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,48417.0,0.0,0.0,0.0,0.0,0.0,0.0
S00029_PONTA,0, ,524.0," ""GERAL""       ",857.0,733.0,576.0,638.0,5202.0,669.0,2024.0,2039.0,0.0,0.0,194.0,168.0,355.0,958.0,119.0,322.0,62.0,130.0,294.0,827.0,22.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,5202.0,0.0,0.0,0.0,0.0,0.0,0.0
S00030_FORA_PONTA,0, ,545.0," ""GERAL""       ",62015.0,6363.0,4808.0,4840.0,53486.0,6653.0,4667.0,4698.0,0.0,0.0,1344.0,1168.0,2324.0,5786.0,124.0,325.0,332.0,180.0,1992.0,5606.0,32.0,97.0,151.0,2174.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2324.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,0.0,0.0,0.0,0.0,0.0,53486.0,0.0,0.0,0.0,0.0,0.0,0.0
S00031_PONTA,0, ,548.0," ""GERAL""       ",1070.0,850.0,705.0,768.0,5416.0,783.0,2152.0,2170.0,0.0,0.0,194.0,168.0,356.0,959.0,120.0,323.0,63.0,134.0,293.0,826.0,22.0,98.0,5.0,351.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,5416.0,0.0,0.0,0.0,0.0,0.0,0.0
S00032_FORA_PONTA,0, ,569.0," ""GERAL""       ",58978.0,6484.0,4576.0,4609.0,50473.0,6838.0,4437.0,4469.0,0.0,0.0,1345.0,1169.0,2300.0,5731.0,122.0,325.0,305.0,116.0,1995.0,5615.0,28.0,97.0,134.0,2166.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,50473.0,0.0,0.0,0.0,0.0,0.0,0.0
S00033_PONTA,0, ,572.0," ""GERAL""       ",1550.0,1214.0,743.0,855.0,5892.0,1128.0,2190.0,2225.0,0.0,0.0,194.0,168.0,359.0,974.0,120.0,327.0,67.0,152.0,292.0,822.0,23.0,97.0,6.0,352.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,5892.0,0.0,0.0,0.0,0.0,0.0,0.0
S00034_FORA_PONTA,0, ,641.0," ""GERAL""       ",124570.0,13425.0,4015.0,4030.0,110362.0,16248.0,3881.0,3897.0,0.0,0.0,4439.0,3853.0,7090.0,17431.0,123.0,328.0,441.0,-1285.0,6650.0,18716.0,29.0,97.0,195.0,6896.0,195.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,7090.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,6650.0,0.0,0.0,0.0,0.0,0.0,0.0,110362.0,0.0,0.0,0.0,0.0,0.0,0.0
S00035_PONTA,0, ,644.0," ""GERAL""       ",398.0,772.0,355.0,450.0,4744.0,713.0,1803.0,1821.0,0.0,0.0,194.0,168.0,354.0,954.0,119.0,320.0,60.0,125.0,294.0,828.0,21.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,4744.0,0.0,0.0,0.0,0.0,0.0,0.0
S00036_FORA_PONTA,0, ,665.0," ""GERAL""       ",55196.0,4908.0,3870.0,3882.0,46724.0,5373.0,3739.0,3751.0,0.0,0.0,1346.0,1170.0,2268.0,5642.0,122.0,324.0,265.0,5.0,2003.0,5637.0,27.0,97.0,108.0,2159.0,108.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,46724.0,0.0,0.0,0.0,0.0,0.0,0.0
S00037_PONTA,0, ,668.0," ""GERAL""       ",825.0,748.0,539.0,602.0,5170.0,684.0,1987.0,2002.0,0.0,0.0,194.0,168.0,355.0,957.0,119.0,321.0,62.0,130.0,294.0,827.0,22.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,5170.0,0.0,0.0,0.0,0.0,0.0,0.0
S00038_FORA_PONTA,0, ,689.0," ""GERAL""       ",56376.0,5267.0,3934.0,3947.0,47900.0,5716.0,3802.0,3816.0,0.0,0.0,1346.0,1170.0,2272.0,5652.0,122.0,325.0,271.0,21.0,2001.0,5631.0,27.0,97.0,112.0,2159.0,112.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,2272.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,47900.0,0.0,0.0,0.0,0.0,0.0,0.0
S00039_PONTA,0, ,692.0," ""GERAL""       ",502.0,760.0,356.0,441.0,4848.0,699.0,1804.0,1820.0,0.0,0.0,194.0,168.0,354.0,955.0,119.0,320.0,61.0,127.0,294.0,828.0,21.0,98.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,4848.0,0.0,0.0,0.0,0.0,0.0,0.0
