Segmento,Year,LDCurve,Hour,Meter,kWh,kvarh,Max kW,Max kVA,Zone kWh,Zone kvarh,Zone Max kW,Zone Max kVA,Overload kWh Normal,Overload kWh Emerg,Load EEN,Load UE,Zone Losses kWh,Zone Losses kvarh,Zone Max kW Losses,Zone Max kvar Losses,Load Losses kWh,Load Losses kvarh,No Load Losses kWh,No Load Losses kvarh,Max kW Load Losses,Max kW No Load Losses,Line Losses,Transformer Losses,Line Mode Line Losses,Zero Mode Line Losses,3-phase Line Losses,1- and 2-phase Line Losses,Gen kWh,Gen kvarh,Gen Max kW,Gen Max kVA,13.8 kV Losses,Aux1,Aux6,Aux11,Aux16,Aux21,Aux26,13.8 kV Line Loss,Aux2,Aux7,Aux12,Aux17,Aux22,Aux27,13.8 kV Load Loss,Aux3,Aux8,Aux13,Aux18,Aux23,Aux28,13.8 kV No Load Loss,Aux4,Aux9,Aux14,Aux19,Aux24,Aux29,13.8 kV Load Energy,Aux5,Aux10,Aux15,Aux20,Aux25,Aux30
S00022_FORA_PONTA,0, ,401.0," ""GERAL""       ",58099.0,6824.0,4185.0,4219.0,48397.0,6879.0,4040.0,4074.0,0.0,0.0,1435.0,1248.0,2359.0,6031.0,131.0,360.0,305.0,112.0,2054.0,5919.0,34.0,100.0,133.0,2226.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,2359.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,48397.0,0.0,0.0,0.0,0.0,0.0,0.0
S00023_PONTA,0, ,404.0," ""GERAL""       ",409.0,1406.0,366.0,634.0,6323.0,1226.0,2357.0,2400.0,0.0,0.0,207.0,179.0,380.0,1070.0,128.0,361.0,79.0,201.0,301.0,869.0,28.0,101.0,7.0,373.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,6323.0,0.0,0.0,0.0,0.0,0.0,0.0
S00024_FORA_PONTA,0, ,473.0," ""GERAL""       ",137850.0,17233.0,4405.0,4428.0,120871.0,18801.0,4259.0,4280.0,0.0,0.0,4732.0,4109.0,7355.0,18622.0,132.0,362.0,534.0,-1036.0,6821.0,19658.0,36.0,100.0,239.0,7116.0,239.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,7355.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,6821.0,0.0,0.0,0.0,0.0,0.0,0.0,120871.0,0.0,0.0,0.0,0.0,0.0,0.0
S00025_PONTA,0, ,476.0," ""GERAL""       ",35.0,840.0,109.0,346.0,5351.0,735.0,2102.0,2120.0,0.0,0.0,207.0,179.0,363.0,1000.0,126.0,353.0,60.0,126.0,303.0,874.0,25.0,101.0,3.0,360.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,5351.0,0.0,0.0,0.0,0.0,0.0,0.0
S00026_FORA_PONTA,0, ,497.0," ""GERAL""       ",60108.0,6351.0,4173.0,4199.0,50229.0,6418.0,4029.0,4056.0,0.0,0.0,1435.0,1247.0,2355.0,6016.0,131.0,358.0,302.0,101.0,2053.0,5916.0,34.0,100.0,128.0,2227.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,2355.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,50229.0,0.0,0.0,0.0,0.0,0.0,0.0
S00027_PONTA,0, ,500.0," ""GERAL""       ",35.0,772.0,116.0,316.0,5333.0,668.0,2110.0,2123.0,0.0,0.0,207.0,179.0,362.0,999.0,126.0,353.0,59.0,124.0,303.0,874.0,25.0,101.0,3.0,360.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,5333.0,0.0,0.0,0.0,0.0,0.0,0.0
S00028_FORA_PONTA,0, ,521.0," ""GERAL""       ",61400.0,6552.0,4481.0,4507.0,51690.0,6584.0,4333.0,4358.0,0.0,0.0,1434.0,1247.0,2366.0,6045.0,130.0,358.0,316.0,135.0,2051.0,5910.0,34.0,100.0,137.0,2230.0,137.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,2366.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,51690.0,0.0,0.0,0.0,0.0,0.0,0.0
S00029_PONTA,0, ,524.0," ""GERAL""       ",72.0,841.0,175.0,369.0,5566.0,721.0,2168.0,2185.0,0.0,0.0,207.0,179.0,366.0,1015.0,126.0,354.0,64.0,141.0,303.0,874.0,25.0,101.0,3.0,363.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,5566.0,0.0,0.0,0.0,0.0,0.0,0.0
S00030_FORA_PONTA,0, ,545.0," ""GERAL""       ",67402.0,7261.0,5136.0,5172.0,57109.0,7114.0,4981.0,5014.0,0.0,0.0,1432.0,1246.0,2427.0,6202.0,131.0,358.0,384.0,317.0,2042.0,5885.0,36.0,100.0,176.0,2250.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2427.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,57109.0,0.0,0.0,0.0,0.0,0.0,0.0
S00031_PONTA,0, ,548.0," ""GERAL""       ",169.0,977.0,312.0,477.0,5795.0,844.0,2304.0,2324.0,0.0,0.0,207.0,179.0,370.0,1027.0,126.0,355.0,67.0,155.0,302.0,872.0,26.0,101.0,4.0,366.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,5795.0,0.0,0.0,0.0,0.0,0.0,0.0
S00032_FORA_PONTA,0, ,569.0," ""GERAL""       ",64159.0,7385.0,4888.0,4926.0,53893.0,7311.0,4736.0,4770.0,0.0,0.0,1433.0,1246.0,2399.0,6138.0,131.0,359.0,353.0,243.0,2046.0,5895.0,34.0,99.0,158.0,2241.0,158.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,2399.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,53893.0,0.0,0.0,0.0,0.0,0.0,0.0
